email,nombre,roles
est-180@academiapacifico.edu.ec,Estudiante 180,ESTUDIANTE
est-181@academiapacifico.edu.ec,Estudiante 181,ESTUDIANTE
est-182@academiapacifico.edu.ec,Estudiante 182,ESTUDIANTE
est-183@academiapacifico.edu.ec,Estudiante 183,ESTUDIANTE
est-184@academiapacifico.edu.ec,Estudiante 184,ESTUDIANTE
est-185@academiapacifico.edu.ec,Estudiante 185,ESTUDIANTE
est-186@academiapacifico.edu.ec,Estudiante 186,ESTUDIANTE
est-187@academiapacifico.edu.ec,Estudiante 187,ESTUDIANTE
est-188@academiapacifico.edu.ec,Estudiante 188,ESTUDIANTE
est-189@academiapacifico.edu.ec,Estudiante 189,ESTUDIANTE
est-190@academiapacifico.edu.ec,Estudiante 190,ESTUDIANTE
est-191@academiapacifico.edu.ec,Estudiante 191,ESTUDIANTE
est-192@academiapacifico.edu.ec,Estudiante 192,ESTUDIANTE
est-193@academiapacifico.edu.ec,Estudiante 193,ESTUDIANTE
est-194@academiapacifico.edu.ec,Estudiante 194,ESTUDIANTE
est-195@academiapacifico.edu.ec,Estudiante 195,ESTUDIANTE
est-196@academiapacifico.edu.ec,Estudiante 196,ESTUDIANTE
est-197@academiapacifico.edu.ec,Estudiante 197,ESTUDIANTE
est-198@academiapacifico.edu.ec,Estudiante 198,ESTUDIANTE
est-199@academiapacifico.edu.ec,Estudiante 199,ESTUDIANTE
est-200@academiapacifico.edu.ec,Estudiante 200,ESTUDIANTE
