email,codigoSeccion
est-158@academiapacifico.edu.ec,4EGB-B
est-159@academiapacifico.edu.ec,4EGB-B
est-160@academiapacifico.edu.ec,4EGB-B
est-161@academiapacifico.edu.ec,5EGB-A
est-162@academiapacifico.edu.ec,5EGB-A
est-163@academiapacifico.edu.ec,5EGB-A
est-164@academiapacifico.edu.ec,5EGB-A
est-165@academiapacifico.edu.ec,5EGB-A
est-166@academiapacifico.edu.ec,5EGB-A
est-167@academiapacifico.edu.ec,5EGB-A
est-168@academiapacifico.edu.ec,5EGB-A
est-169@academiapacifico.edu.ec,5EGB-A
est-170@academiapacifico.edu.ec,5EGB-A
est-171@academiapacifico.edu.ec,5EGB-A
est-172@academiapacifico.edu.ec,5EGB-A
est-173@academiapacifico.edu.ec,5EGB-A
est-174@academiapacifico.edu.ec,5EGB-A
est-175@academiapacifico.edu.ec,5EGB-A
est-176@academiapacifico.edu.ec,5EGB-A
est-177@academiapacifico.edu.ec,5EGB-A
est-178@academiapacifico.edu.ec,5EGB-A
est-179@academiapacifico.edu.ec,5EGB-A
est-180@academiapacifico.edu.ec,5EGB-A
est-181@academiapacifico.edu.ec,5EGB-B
est-182@academiapacifico.edu.ec,5EGB-B
est-183@academiapacifico.edu.ec,5EGB-B
est-184@academiapacifico.edu.ec,5EGB-B
est-185@academiapacifico.edu.ec,5EGB-B
est-186@academiapacifico.edu.ec,5EGB-B
est-187@academiapacifico.edu.ec,5EGB-B
est-188@academiapacifico.edu.ec,5EGB-B
est-189@academiapacifico.edu.ec,5EGB-B
est-190@academiapacifico.edu.ec,5EGB-B
